 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
TraceTo,John,6/29/2018, $ 12.50 ," $ 1,561.80 ",https://etherscan.io/token/0xe6824483e279d967ea6f8472ace7585862fa1185,T2T,,,https://traceto.io/,https://traceto.io/static/wp/traceto_Whitepaper_v1_35_en.pdf   Found it: http://files.icorank.co.kr/icorank/whitepaper/Traceto.io_whitepaper.pdf,04/06/2021,,,Dead,,0.00%,0.00%,#DIV/0!,,"# White Paper website is defunct, website itself is concerned primarily with token buy backs -- no relevant information to be found",1,LOW,Over x amount of tokens,Proportional,Other,None,No,No,Yes,No,No
Utrum,John,7/4/2018,1.16," $ 1,562.96 ",https://coinmarketcap.com/currencies/utrum/,OOT,"1,008,494.28",,https://utrum.io/,https://static.coinpaprika.com/storage/cdn/whitepapers/10561707.pdf,04/06/2021,,,Dead,,86.94%,0.00%,0.00%,,"#Website is defunct, no information available",2,LOW,Whole community,Proportional,Consortium majority,None,Yes,No,Yes,No,No
0Chain (ZCHN),Alan,2/17/2018, $ 39.00 ," $ 1,601.96 ",https://coinmarketcap.com/currencies/0chain/,ZCN,"278,654,507","371,097",https://0chain.net/,"https://0chain.net/research   https://drive.google.com/file/d/1PdgyfnkryrCayufxTAa1UhUQ4Z9uSVGK/view 
 https://drive.google.com/file/d/1zi-ADhRe6KbYx_HJxMcZNuBm_C-84Pgm/viewhttps://drive.google.com/file/d/1KcfkQ1HmtGXvXzZtalNkVHMmIcwOiA7k/view",06/06/2021,"Not sure this is a dead coin, still has block producers etc",,,Main reasons for dead coin listing Scam or Other Issues.,714.50%,0.95%,0.13%,Market CAP and Trading volume different,"Has a special whtepaper on governance and voting, plus a clever algorithm (ping pong) that allows lightweight voting on eaiser issues. https://drive.google.com/file/d/1zi-ADhRe6KbYx_HJxMcZNuBm_C-84Pgm/view",3,HIGH,All token holders,Other,Token amount majority,Open,Yes,Yes,No,Yes,Yes
0xcert Protocol,,7/4/2018,9.45," $ 1,611.41 ",https://coinmarketcap.com/currencies/0xcert/,ZXC,"1,012,097.54","34,719.03",https://0xcert.org/,,04/06/2021,,,,Main reasons for dead coin listing Scam or Other Issues.,10.71%,0.37%,3.43%,,,1,,,,,,,,,,
21 Million,,6/28/2017, $ 0.38 ," $ 1,611.79 ",,,,,,,06/06/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
300cubits,,5/12/2018, $ 1.10 ," $ 1,612.89 ",,,,,,,05/06/2021,No information found,,Dead,Main reasons for dead coin listing ICO Fail or Short Lived.,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
4New,,3/31/2018, $ 41.50 ," $ 1,654.39 ",https://coinmarketcap.com/currencies/4new/,KWATT,"248,713.84","3,587.72",https://4new.io/,https://4new.io/wp-content/uploads/2018/08/4New_White_Paper_English-v2.pdf,06/06/2021,,,Dead,Main reasons for dead coin listing Scam or Other Issues.,0.60%,0.01%,1.44%,Market CAP and Trading volume different,,1,,,,,,,,,,
A2B Taxi,,4/7/2018, $ 1.50 ," $ 1,655.89 ",,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Acudeen,,6/10/2018, $ 35.00 ," $ 1,690.89 ",https://foundico.com/ico/acudeen.html,ACU,,,https://foundico.com/adr/?bid=11762&brl=aHR0cHM6Ly90b2tlbnNhbGUuYWN1ZGVlbi5pbz91dG1fc291cmNlPWZvdW5kaWNv&sessid=5f70ff4a630c5c126e60d34b81459063,,04/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Adel,John,6/1/2017, $ 1.21 ," $ 1,692.10 ",https://coinmarketcap.com/currencies/akropolis-delphi/,ADEL,"4,538,083","1,328,943",https://delphi.akropolis.io/,,06/06/2021,No information found,,,,375.05%,109.83%,29.28%,Market CAP and Trading volume different,,3,HIGH,All token holders,Proportional,Consortium majority,None,No,No,Yes,Yes,No
Adenium,,4/18/2018, $ 1.93 ," $ 1,694.02 ",,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
AdEx,Anna,6/30/2017, $ 12.31 ," $ 1,706.33 ",https://coinmarketcap.com/currencies/adx-net/,ADX,"141,500,875","2,834,810",https://www.adex.network/,https://github.com/adexnetwork/adex-protocol,06/06/2021,,,,,1149.48%,23.03%,2.00%,Market CAP and Trading volume different,,4,,All token holders,Proportional,Consortium majority,None,No,No,Yes,No,Yes
AdHive,Anna,2/28/2018, $ 17.50 ," $ 1,723.83 ",https://coinpaprika.com/coin/adh-adhive/,ADH,"215,839.12",65.23,https://adhive.tv/,https://adhive.tv/docs/AdHive_Whitepaper.pdf,06/06/2021,no traces of their whitepaper or prospectus,https://adhive.com/,Dead,,1.23%,0.00%,0.03%,,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Aditus,Anna,12/20/2017, $ 7.10 ," $ 1,730.93 ",https://coinmarketcap.com/currencies/aditus/,,"548,676","69,142",https://www.aditus.net/,https://www.aditus.net/Aditus-Whitepaper.pdf,06/06/2021,,,,,7.73%,0.97%,12.60%,Market CAP and Trading volume different,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Adshares (ADST),Anna,1/12/2018, $ 12.00 ," $ 1,742.93 ",https://coinmarketcap.com/currencies/adshares/,ADS,"18,558,369","76,564",https://adshares.net/,https://adshares.net/assets/docs/Adshares.Network.whitepaper.pdf,06/06/2021,,,,,154.65%,0.64%,0.41%,Market CAP and Trading volume different,,3,,,,,,Yes,,Yes,No,Yes
aelf,Anna,12/10/2017, $ 24.75 ," $ 1,767.68 ",https://coinmarketcap.com/currencies/aelf/,ELF,"256,093,519","13,562,291",http://aelf.io/,https://grid.hoopox.com/%C3%A6lf_whitepaper_v1.2.pdf,06/06/2021,,,,,1034.72%,54.80%,5.30%,Market CAP and Trading volume different,,4,,All token holders,Proportional,Consortium majority,None,Yes,Yes,No,Yes,No
Aeron,Anna,10/30/2017, $ 5.35 ," $ 1,773.03 ",https://coinmarketcap.com/currencies/aeron/,ARNX,"1,303,045","93,016",https://aeron.aero/,https://aeron.aero/AeronWhitepaper.pdf,06/06/2021,,,,,24.37%,1.74%,7.14%,Market CAP and Trading volume different,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Aeternity,Anna,4/6/2017, $ 22.63 ," $ 1,795.66 ",https://coinmarketcap.com/currencies/aeternity/,AE,"97,339,437","9,164,108",https://www.aeternity.com/,https://github.com/aeternity/protocol,06/07/2021,,,,,430.13%,40.50%,9.41%,Market CAP and Trading volume different,,3,,All token holders,Proportional,Token amount majority,Open,Yes,Yes,Yes,Yes,Yes
Agrello,Anna ,8/17/2017, $ 26.14 ," $ 1,821.80 ",https://coinmarketcap.com/currencies/agrello-delta/,DLT,"11,228,167","371,169",https://www.agrello.id/,https://docs.agrello.org/Agrello-Self-Aware_Whitepaper-English.pdf,06/06/2021,,,,,42.95%,1.42%,3.31%,,,1,,,,,,No,No,No,No,Yes
Ahoolee,,9/11/2017, $ 0.14 ," $ 1,821.94 ",,,,,,,06/06/2021,No information found,,,Main reasons for dead coin listing Scam or Other Issues,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
AidCoin,Anna,2/1/2018, $ 18.63 ," $ 1,840.57 ",https://coinmarketcap.com/currencies/aidcoin/,AID,"2,659,535.96",33.93,https://www.aidcoin.co/,https://www.aidcoin.co/assets/documents/whitepaper.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived,14.27%,0.00%,0.00%,Market CAP and Trading volume different,,1,LOW,None,None,Centralized,None,Yes,No,No,No,Yes
Aigang (AIG),Anna,12/15/2017, $ 4.16 ," $ 1,844.74 ",https://coinmarketcap.com/currencies/aigang/,AIX,"70,358",,https://aigang.network/,https://aigang.network/whitepaper,06/06/2021,,,DEAD,,1.69%,0.00%,0.00%,,,1,LOW,None,None,Centralized,None,No,No,Yes,No,Yes
Aion Pre-sale,Anna,10/10/2017, $ 8.08 ," $ 1,852.81 ",https://coinmarketcap.com/currencies/aion/,AION,"93,960,257","4,024,833",https://theoan.com/,https://aion.network/developers/#whitepapers,06/06/2021,No information found,,,,1163.49%,49.84%,4.28%,Market CAP and Trading volume different,,4,,All token holders,Proportional,Token amount majority,None,Yes,No,Yes,Yes,Yes
Aira,,6/11/2017, $ 1.02 ," $ 1,853.83 ",Upcoming,,,,,,06/06/2021,,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
AIRCOIN,,4/16/2018, $ 27.99 ," $ 1,881.82 ",https://coinmarketcap.com/currencies/aircoins//,AIRX,"2,602,272","4,518",https://www.aircoins.io/,,06/06/2021,,,DEAD,Main reasons for dead coin listing Scam or Other Issues,9.30%,0.02%,0.17%,Market CAP and Trading volume different,,1,,,,,,,,,,
AIREN,,5/18/2018, $ 19.00 ," $ 1,900.82 ",,,,,,,05/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Airtoken (AIR),Anna,10/10/2017, $ 15.00 ," $ 1,915.82 ",https://coinmarketcap.com/currencies/airtoken/,AIR,,,https://www.airtoken.com/,https://airtoken.com/paper/AirFoxICO_WhitePaper_v3.0.pdf,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,None,None,Centralized,None,Yes,No,No,No,Yes
Aitheon,John,6/5/2018, $ 25.35 ," $ 1,941.17 ",https://coinmarketcap.com/currencies/aitheon/,ACU,"196,369.91","9,444.84",https://www.aitheon.com/,https://www.aitheon.com/assets/Aitheon%20Whitepaper_v1.18.pdf,04/06/2021,,,,,0.77%,0.04%,4.81%,Market CAP and Trading volume different,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Alchemint,John,6/12/2018, $ 30.00 ," $ 1,971.17 ",https://coinmarketcap.com/currencies/alchemint-standards/,SDS,"473,008.41",26.39,http://alchemint.io/#/home,http://alchemint.io/static/pdf/Alchemint_Whitepaper.pdf,04/06/2021,,,,,1.58%,0.00%,0.01%,Market CAP and Trading volume different,,1,HIGH,None,None,Centralized,None,No,No,No,No,Yes
Alpen Coin,John,9/10/2017, $ 2.43 ," $ 1,973.60 ",,,,,,,06/06/2021,Inactive,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,HIGH,All token holders,Proportional,Token amount majority,None,No,No,No,No,No
Alttex (ALTTEX),,6/1/2018, $ 5.83 ," $ 1,979.43 ",https://coinpaprika.com/coin/altx-alttex/,ALTX,"15,858.22",12.7,https://alttex.io/,https://alttex.io/WhitePaper_En.pdf,04/06/2021,,,,,0.27%,0.00%,0.08%,Market CAP and Trading volume different,,1,,,,,,,,,,
Ambit,,6/10/2018, $ 4.00 ," $ 1,983.43 ",,,,,,,04/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Ambrosus (AMB),,10/18/2017, $ 32.51 ," $ 2,015.94 ",https://coinmarketcap.com/currencies/amber/,AMB,"28,535,820","672,590",http://ambrosus.com/,https://ambrosus.com/assets/en/-White-Paper-V8-1.pdf,06/06/2021,,,,,87.78%,2.07%,2.36%,Market CAP and Trading volume different,,2,HIGH,All token holders,Proportional,Other,None,No,No,No,Yes,No
AMLT,,1/30/2018, $ 19.04 ," $ 2,034.98 ",https://coinmarketcap.com/currencies/amlt/,AMLT,"15,275,483","42,298",https://amlt.coinfirm.com/,https://coinfirm-prod.objects.frb.io/assets/white-paper.pdf,06/06/2021,,,,,80.22%,0.22%,0.28%,Market CAP and Trading volume different,"AMLT plans on forming an AMLT Steering Committee comprised of AMLT representatives and selected NMs representatives. In this way, it is a mixed centralized - decentralized model",2,HIGH,None,None,Centralized,None,Yes,No,Yes,No,Yes
Anryze,,10/12/2017, $ 1.76 ," $ 2,036.74 ",,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Antshares,,9/7/2016, $ 3.50 ," $ 2,040.24 ",https://coinmarketcap.com/currencies/neo/,NEO,"5,710,299,672","454,138,663",https://neo.org/,https://docs.neo.org/docs/en-us/index.html,06/07/2021,"Antshares, rebranded to Neo in 2017, is an open-source, smart contract-focused blockchain platform launched in 2014 by Erik Zhang and Da HongFei. The project has claimed to be China’s first public blockchain.",https://www.coindesk.com/company/antshares,,,163151.42%,12975.39%,7.95%,,,4,HIGH,All token holders,Proportional,Token amount majority,None,No,No,No,Yes,No
APEX,John,1/29/2018, $ 25.00 ," $ 2,065.24 ",https://coinmarketcap.com/currencies/apex/,CPX,,0.781984,https://apexnetwork.io/,http://cdn.chinapex.com.cn/med/videos/to/APEX-Development-Plan-eng.pdf,06/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,HIGH,All token holders,Proportional,Token amount majority,None,No,No,No,No,No
Aphelion,,12/8/2017, $ 4.78 ," $ 2,070.02 ",https://coinpaprika.com/coin/aph-aphelion/,APH,,390.22,https://aphelion.org/,,06/06/2021,,,,,0.00%,0.01%,#DIV/0!,,,1,,,,,,,,,,
AppCoins,John,12/20/2017, $ 17.10 ," $ 2,087.12 ",https://coinmarketcap.com/currencies/appcoins/,APPC,"21,434,804","538,628",https://appcoins.io/,https://appcoins.io/assets/images/white-paper.pdf,06/06/2021,,,,,125.35%,3.15%,2.51%,Market CAP and Trading volume different,,3,HIGH,None,None,Centralized,None,No,No,No,No,No
Apptrade,,4/30/2017, $ 0.24 ," $ 2,087.36 ",,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Arbidex (ABX),John,2/28/2018, $ 16.24 ," $ 2,103.60 ",https://coinmarketcap.com/currencies/arbidex/,ABX,"470,927","90,575",https://www.arbidex.uk.com/,https://arbidex.uk.com/assets/wp_en.pdf,06/06/2021,,,,,2.90%,0.56%,19.23%,Market CAP and Trading volume different,,1,HIGH,None,None,Centralized,None,No,No,No,No,Yes
Arcade City,John,11/29/2016, $ 0.64 ," $ 2,104.24 ",upcoming,,,,,,06/07/2021,,,,,0.00%,0.00%,#DIV/0!,,"Note: Arcade city started as a decentralized protocol, but according to the CEO's own verdict, this ended in disaster when the majority council exited after the first token sale. Therefore, the model is a centralized system until the path is ready for decentralization",1,LOW,None,None,Other,None,No,No,No,No,No
ArcBlock (ABT),,2/4/2018, $ 45.00 ," $ 2,149.24 ",https://coinmarketcap.com/currencies/arcblock/,ABT,"24,156,195.88","4,910,155.32",https://www.arcblock.io/,https://www.arcblock.io/file/whitepaper/WhitePaperEnV2_en-US.pdf,06/06/2021,,,,,53.68%,10.91%,20.33%,Market CAP and Trading volume different,,1,,,,,,,,,,
Arcona,,7/14/2018,3.4," $ 2,152.64 ",https://coinmarketcap.com/currencies/arcona/,ARCONA,"1,140,858.79","143,157.19",https://www.arcona.io/index.html,https://www.arcona.io/doc/arcona_white_paper_en.pdf,04/06/2021,,,,,33.55%,4.21%,12.55%,Market CAP and Trading volume different,,1,,,,,,,,,,
Ark,,12/11/2016, $ 1.00 ," $ 2,153.64 ",https://coinmarketcap.com/currencies/ark/,ARK,"208,087,395","9,924,934",http://ark.io/,https://ark.io/Whitepaper.pdf,06/07/2021,,,,,20808.74%,992.49%,4.77%,Market CAP and Trading volume different,,4,,,,,,,,,,
ARToken,,11/23/2017, $ 2.81 ," $ 2,156.45 ",,,,,,,06/06/2021,No information found,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Arweave (AR),Aryan,6/7/2018, $ 8.70 ," $ 2,165.15 ",https://coinmarketcap.com/currencies/arweave/,AR,"1,086,192,460.14","31,451,024.33",https://www.arweave.org/,https://www.arweave.org/files/arweave-lightpaper.pdf,04/06/2021,,,,,12484.97%,361.51%,2.90%,,,4,LOW,None,None,Centralized,None,Yes,No,No,Yes,Yes
Assetereum,,5/11/2018, $ 4.19 ," $ 2,169.34 ",,,,,,,05/06/2021,No information found,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Astronaut,Aryan,10/25/2017, $ 2.35 ," $ 2,171.70 ",https://coinmarketcap.com/currencies/astronaut/,NAUT,"23,425,383",no data,https://astronaut.to/,https://astronaut.to/assets/pdf/Whitepaper%20Astronaut.pdf,06/06/2021,,,,,995.88%,#VALUE!,#VALUE!,,,3,LOW,None,None,Centralized,None,No,No,Yes,No,Yes
ATB Coin,Aryan,8/31/2017, $ 17.60 ," $ 2,189.30 ",https://coinmarketcap.com/currencies/atbcoin/,ATB,"651,391",,https://atbcoin.com/,https://atbcoin.com/docs/ATBCoin_WhitePapper_EN.pdf,06/06/2021,,,DEAD,Main reasons for dead coin listing ICO Fail or Short Lived.,3.70%,0.00%,0.00%,,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
ATLANT (ATL),Aryan,10/31/2017, $ 6.63 ,#REF!,https://coinmarketcap.com/currencies/atlant/,ATL,"2,103,984",no data,https://atlant.io/,https://atlant.io/assets/documents/en/Atlant_WP_publish.pdf,06/06/2021,,,,,31.71%,#VALUE!,#VALUE!,Market CAP and Trading volume different,,1,LOW,None,None,Centralized,None,No,No,Yes,No,Yes
Atlantis Blue Digital,Aryan,7/1/2018,23.9,#REF!,https://coinmarketcap.com/currencies/atlantis-blue-digital-token/,ABDT,,,https://atlantisblue.org/,,04/06/2021,,,DEAD,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Atonomi,Aryan,6/6/2018, $ 25.00 ,#REF!,https://coinpaprika.com/coin/atmi-atonomi/,ATMI,"99,870.00",277.5,https://atonomi.io/,https://uploads-ssl.webflow.com/5a9f110b6e90d20001b2307d/5b16cc51fae12c9edebd3940_Atonomi-Network-White-Paper.pdf,04/06/2021,,https://etherscan.io/token/0x97aeb5066e1a590e868b511457beb6fe99d329f5,,,0.40%,0.00%,0.28%,,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Auctus,Aryan,4/17/2018, $ 3.87 ,#REF!,https://coinmarketcap.com/currencies/auctus/,AUC,"7,891,100","79,258",https://auctus.org/,https://dl.auctus.org/Auctus_Whitepaper.pdf,06/06/2021,,,,,204.14%,2.05%,1.00%,Market CAP and Trading volume different,,3,LOW,None,None,Centralized,None,No,Yes,No,Yes,Yes
Augmentors,,2/28/2017, $ 1.09 ,#REF!,,,,,,,06/07/2021,Inactive,,,,0.00%,0.00%,#DIV/0!,,,1,,,,,,,,,,
Aurora (DVIP),Aryan,1/15/2018, $ 5.30 ,#REF!,https://coinmarketcap.com/currencies/aurora/,AOA,"26,502,097","567,279",https://www.aurorachain.io/,https://www.aurorachain.io/Aurora%20Chain%20white%20paper%20EN.pdf,06/06/2021,No information found,,,,500.04%,10.70%,2.14%,,,3,HIGH,Over x amount of tokens,Tiered,Consortium majority,None,Yes,No,No,No,Yes
Aventus,Aryan,9/12/2017, $ 17.31 ,#REF!,https://coinmarketcap.com/currencies/aventus/,AVT,"4,770,951","2,599",https://aventus.io/,https://www.aventus.io/resources/,06/06/2021,,,,,27.56%,0.02%,0.05%,,,1,HIGH,All token holders,Other,Consortium majority,None,Yes,Yes,Yes,Yes,Yes
AXpire (AXP),Aryan,1/12/2018, $ 20.00 ,#REF!,https://icomarks.com/ico/axpire,AXP,,"1,269.34",https://www.axpire.io/?utm_source=icomarks,https://www.axpire.io/downloads/aXpire_Whitepaper_v1.1.0.pdf,06/06/2021,,,,,0.00%,0.01%,#DIV/0!,,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
B2BX,Aryan,11/17/2017, $ 8.81 ,#REF!,https://etherscan.io/token/0x5d51fcced3114a8bb5e90cdd0f9d682bcbcc5393,B2BX,"2,316,061.70","3,861.66",https://www.b2bx.exchange/?utm_source=icomarks,https://www.b2bx.pro/docs/b2bx_white_paper-en.pdf,06/06/2021,,,,,26.29%,0.04%,0.17%,https://coinmarketcap.com/exchanges/b2bx/,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
BABB,Aryan,2/15/2018, $ 20.00 ,#REF!,https://coinmarketcap.com/currencies/babb/,BAX,"45,283,082","881,420",https://getbabb.com/,https://resources.getbabb.com/whitepapers/en/babb-whitepaper.pdf,06/06/2021,,,,,226.42%,4.41%,1.95%,,,3,LOW,None,None,Centralized,None,No,No,Yes,No,Yes
